id_department;department_fullname;department_shortname
01;Коллегия;
02;Отдел кадрового, документального и организационного обеспечения;Отдел КДиОО
03;Инспекция №1;
04;Инспекция №2;
05;Инспекция №3;
06;Инспекция №4;
07;Инспекция №5;
08;Инспекция №6;
09;Отдел бухгалтерского учета и отчетности;Отдел БУиО
10;Экспертно-аналитическое управление;ЭАУ
11;Отдел ИТ-обеспечения;Отдел ИТО
12;Отдел хозяйственного обеспечения;Отдел ХО
13;Правовое управление;
14;Управление муниципального контроля;УМК
15;Другое;Другое
